names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu
Land transport and transport via pipelines,,0.609907152,,0.194980613,10,,0,249,69.29315066,230,4.02530883,15.15,4.843867178,144,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Construction of buildings,,0.000838588,,0.000247976,10,,0,249,69.29315066,230,4.02530883,0.02,0.006160429,20,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
"Electricity, gas, steam and air conditioning supply",,0.247097109,,0.094309409,10,,0,249,69.29315066,230,4.02530883,6.14,2.342911144,15,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of chemicals and chemical products,,1.304625319,,0.540505927,10,,0,249,69.29315066,230,4.02530883,32.41,13.42768841,15,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Other mining and quarrying,,0.004803814,,0.001837225,10,,0,249,69.29315066,230,4.02530883,0.12,0.045641849,8,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of basic metals,,0.05971782,,0.024429848,10,,0,249,69.29315066,230,4.02530883,1.48,0.606906189,7,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of other non-metallic mineral products,,0.001257278,,0.000395219,10,,0,249,69.29315066,230,4.02530883,0.03,0.009818344,7,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of coke and refined petroleum products,,0.019618277,,0.009432512,10,,0,249,69.29315066,230,4.02530883,0.49,0.234330155,5,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
"Waste collection, treatment, and disposal activities",,0.021576369,,0.009331251,10,,0,249,69.29315066,230,4.02530883,0.54,0.231814535,4,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Civil engineering,,0.018584803,,0.006726162,10,,0,249,69.29315066,230,4.02530883,0.46,0.167096783,4,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Extraction of crude petroleum and natural gas,,0.026498718,,0.021977289,10,,0,249,69.29315066,230,4.02530883,0.66,0.545977701,4,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
"Crop and animal production, hunting and related service activities",,2.495040973,,1.245732808,10,,0,249,69.29315066,230,4.02530883,61.98,30.9475089,3,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.001492223,,0.001041364,10,,0,249,69.29315066,230,4.02530883,0.04,0.025870417,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of wood and products of wood and cork,-0.00062477,0.00062477,0.000162109,8.96E-05,10,,0,249,69.29315066,230,4.02530883,0.02,0.002225019,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
"Wholesale trade, except of motor vehicles and motorcycles",,0.056320252,,0.02657344,10,,0,249,69.29315066,230,4.02530883,1.4,0.660159045,2,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of other transport equipment,-0.000167753,0.000167753,0.000107906,5.96E-05,10,,0,249,69.29315066,230,4.02530883,0,0.001481863,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of electrical equipment,-0.000183812,0.000183812,0.000123501,7.67E-05,10,,0,249,69.29315066,230,4.02530883,0,0.001904689,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of food products,0.012501608,0.021328397,0.025110448,0.00973506,10,,0,249,69.29315066,230,4.02530883,0.53,0.241846278,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Specialized construction activities,-6.87E-12,1.77E-11,2.55E-11,9.53E-12,10,,0,249,69.29315066,230,4.02530883,0,2.37E-10,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Mining of coal and lignite,,0.003362346,,0.001103708,10,,0,249,69.29315066,230,4.02530883,0.08,0.02741922,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Mining of metal ores,,0.004439445,,0.001471385,10,,0,249,69.29315066,230,4.02530883,0.11,0.036553332,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Manufacture of machinery and equipment,-1.43E-05,2.28E-05,2.69E-05,1.21E-05,10,,0,249,69.29315066,230,4.02530883,0,0.000300035,1,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_
Construction of buildings,,0.000466288,,0.000194648,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,245,66.11780357,220,4.02530883,0.01,0.004835609,155,_nutrient_supply_from_ammonium_nitrate_phosphate___kilogram__RER__None_
"Electricity, gas, steam and air conditioning supply",,0.270305114,,0.089490873,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,245,66.11780357,220,4.02530883,6.72,2.223205156,19,_nutrient_supply_from_ammonium_nitrate_phosphate___kilogram__RER__None_
Other mining and quarrying,,0.002084508,,0.000994609,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,245,66.11780357,220,4.02530883,0.05,0.024708884,13,_nutrient_supply_from_ammonium_nitrate_phosphate___kilogram__RER__None_
Manufacture of basic metals,,0.034707172,,0.014488395,10,_market_for_inorganic_phosphorus_fertiliser__as_P2O5___kilogram__IS__None_,1,245,66.11780357,220,4.02530883,0.86,0.359932512,12,_nutrient_supply_from_ammonium_nitrate_phosphate___kilogram__RER__None_
