names,mu,mu_star,sigma,mu_star_conf,trajectories,reference_product,tier,number of variables,runtime,number of runs,score,mu_star_relative,mu_star_conf_relative,count,fu,,,reference_product
Manufacture of other non-metallic mineral products,,0.189844606,,0.018479192,300,.,0,188,2089.515743,7200,117.8113726,0.161142852,0.015685406,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Manufacture of electrical equipment,-0.000884631,0.000911836,0.000788629,9.20E-05,300,.,0,188,2089.515743,7200,117.8113726,0.00077398,7.81E-05,2,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Other mining and quarrying,,0.151740406,,0.015479366,300,.,0,188,2089.515743,7200,117.8113726,0.128799455,0.01313911,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Manufacture of other transport equipment,-0.003374939,0.003391508,0.001729584,0.000161343,300,.,0,188,2089.515743,7200,117.8113726,0.002878761,0.00013695,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles,,0.179168409,,0.015660174,300,.,0,188,2089.515743,7200,117.8113726,0.152080741,0.013292582,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Sewerage,0.003539663,0.003539663,0.001059645,0.000119375,300,.,0,188,2089.515743,7200,117.8113726,0.003004517,0.000101327,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Unknown,,0.02220032,,0.005733254,300,.,0,188,2089.515743,7200,117.8113726,0.018843953,0.004866469,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
Construction of buildings,,0.004685986,,0.000443713,300,.,0,188,2089.515743,7200,117.8113726,0.003977532,0.00037663,1,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,,,
"Electricity, gas, steam and air conditioning supply",,6.986807457,,0.652657638,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,5.930503399,0.553985259,74,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
Manufacture of chemicals and chemical products,,0.686803471,,0.073801903,300,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_,1,188,1929.07748,6600,117.8113726,0.582968737,0.062644125,21,_board__softwood__raw__air_drying_to_u_20____cubic_meter__CH__None_,,,_market_for_sawnwood__board__softwood__raw__dried__u_20_____cubic_meter__CH__None_
